name,win,loss,nc,draw,Height,Weight,Reach,STANCE,DOB,SLpM,Str.Acc.,SApM,Str.Def,TDAvg.,TDAcc.,TDDef.,Sub.Avg.
Uriah Hall,8,7,0,0,"6'0""",185lbs.,"79""",Orthodox,"Jul31,1984",3.31,50%,3.57,53%,0.75,38%,69%,0.2
Anderson Silva,31,10,1,0,"6'2""",185lbs.,"77""",Southpaw,"Apr14,1975",3.04,62%,1.98,61%,0.52,77%,69%,0.8
Bryce Mitchell,4,0,0,0,"5'10""",145lbs.,"70""",Southpaw,"Oct04,1994",2.05,59%,1.36,58%,2.13,41%,33%,2.7
Andre Fili,9,6,0,0,"5'11""",145lbs.,"74""",Orthodox,"Jun25,1990",3.90,36%,3.97,53%,2.71,49%,69%,0.2
Kevin Holland,7,2,0,0,"6'3""",170lbs.,"81""",Orthodox,"Nov05,1992",4.69,56%,2.85,56%,0.96,36%,54%,0.8
Makhmud Muradov,2,0,0,0,"6'2""",185lbs.,"75""",Orthodox,"Feb08,1990",4.97,41%,2.57,64%,0.51,25%,100%,0.5
Maurice Greene,4,2,0,0,"6'7""",258lbs.,"80""",Orthodox,"Jul05,1986",4.31,44%,3.96,47%,0.00,0%,33%,0.7
Greg Hardy,5,2,1,0,"6'5""",265lbs.,"80""",Orthodox,"Jul28,1988",4.48,48%,2.79,58%,0.00,0%,83%,0.0
Bobby Green,12,7,0,1,"5'10""",155lbs.,"71""",Orthodox,"Sep09,1986",5.13,51%,3.36,63%,1.53,39%,74%,0.4
Thiago Moises,3,2,0,0,"5'9""",155lbs.,"70""",Orthodox,"Mar23,1995",2.68,43%,3.54,57%,1.10,28%,68%,1.6
Chris Gruetzemacher,3,2,0,0,"5'8""",155lbs.,"68""",Orthodox,"Jun16,1986",7.12,58%,5.09,56%,0.00,0%,62%,0.0
Alexander Hernandez,3,2,0,0,"5'9""",155lbs.,"72""",Orthodox,"Oct01,1992",3.17,38%,3.87,52%,2.15,38%,57%,0.0
Adrian Yanez,1,0,0,0,"5'7""",135lbs.,"70""",Orthodox,"Nov29,1993",10.77,70%,4.62,62%,0.00,0%,100%,0.0
Aaron Phillips,0,3,0,0,"5'9""",135lbs.,"71""",Southpaw,"Aug05,1989",1.65,56%,3.44,39%,0.00,0%,44%,0.4
Sean Strickland,7,3,0,0,"6'1""",170lbs.,"76""",Orthodox,"Feb27,1991",4.34,35%,3.62,64%,1.37,57%,81%,0.5
Jack Marshman,3,4,0,0,"6'0""",185lbs.,"73""",Orthodox,"Dec19,1989",2.64,28%,3.54,57%,0.00,0%,20%,0.0
